date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:49	1177/1177	---M--	200	added ('OK')	image/gif	etag:W/%221177-1483677837000%22	http://www.jungonenutri.com/user/images/ico/ico_public_off.gif	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/images/ico/ico_public_off.gif	(from http://www.jungonenutri.com/user/notice/diet.do)
09:33:51	27169/27169	---M--	200	added ('OK')	image/jpeg	etag:W/%2227169-1425274691000%22	http://www.jungonenutri.com/upload/product/product_20150302023811683.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_20150302023811683.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:52	1190/1190	---M--	200	added ('OK')	image/gif	etag:W/%221190-1483677837000%22	http://www.jungonenutri.com/user/images/ico/ico_public_on.gif	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/images/ico/ico_public_on.gif	(from http://www.jungonenutri.com/user/notice/diet.do)
09:33:52	28507/28507	---M--	200	added ('OK')	image/jpeg	etag:W/%2228507-1425274674000%22	http://www.jungonenutri.com/upload/product/product_20150302023754861.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_20150302023754861.jpg	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=ESSENTIAL)
09:33:54	149067/149067	---M--	200	added ('OK')	image/png	etag:W/%22149067-1472110432000%22	http://www.jungonenutri.com/upload/product/product_201608250433523261.png	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/product/product_201608250433523261.png	(from http://www.jungonenutri.com/user/product/productSearch.do?cateCd=FRESH)
09:33:55	42588/42588	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2000:33:50%20GMT	http://www.jungonenutri.com/user/mydiet/myDiet.do?dietCd=1902	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/mydiet/myDietfb8f.html	(from http://www.jungonenutri.com/user/notice/diet.do)
09:33:56	17616/17616	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2000:33:54%20GMT	http://www.jungonenutri.com/user/notice/eventView.do?seq=121	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/notice/eventView19fd.html	(from http://www.jungonenutri.com/user/notice/event.do)
09:33:58	24698/24698	---M--	200	added ('OK')	image/jpeg	etag:W/%2224698-1447821765000%22	http://www.jungonenutri.com/upload/notice/notice_20151118014245295.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/notice/notice_20151118014245295.jpg	(from http://www.jungonenutri.com/user/notice/noticeView.do?seq=221)
09:33:58	41746/41746	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2000:33:52%20GMT	http://www.jungonenutri.com/user/mydiet/myDiet.do?dietCd=1901	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/mydiet/myDiet6084.html	(from http://www.jungonenutri.com/user/notice/diet.do)
09:34:00	25831/25831	---M--	200	added ('OK')	image/jpeg	etag:W/%2225831-1440995047000%22	http://www.jungonenutri.com/upload/notice/notice_20150831012407872.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/notice/notice_20150831012407872.jpg	(from http://www.jungonenutri.com/user/notice/noticeView.do?seq=161)
09:34:32	1388714/1388714	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:W/%221388714-1450831221000%22	http://www.jungonenutri.com/upload/notice/notice_20151223094021441.jpg	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/notice/notice_20151223094021441.jpg	(from http://www.jungonenutri.com/user/notice/noticeView.do?seq=261)
09:34:51	2063235/2063235	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:W/%222063235-1483677832000%22	http://www.jungonenutri.com/user/fonts/NanumBarunGothicBold.eot	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/fonts/NanumBarunGothicBold.eot	(from http://www.jungonenutri.com/user/css/basic.css)
09:34:51	4346106/4346106	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:W/%224346106-1483677834000%22	http://www.jungonenutri.com/user/fonts/NanumGothic.eot	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/fonts/NanumGothic.eot	(from http://www.jungonenutri.com/user/css/basic.css)
09:35:03	2063235/2063235	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:W/%222063235-1483677832000%22	http://www.jungonenutri.com/user/fonts/NanumBarunGothicBold.eot?	C:/My%20Web%20Sites/test2/www.jungonenutri.com/user/fonts/NanumBarunGothicBoldd41d.eot	(from http://www.jungonenutri.com/user/css/basic.css)
09:35:47	350346/350346	UR-M--	200	added ('Partial%20Content')	image/png	etag:W/%22350346-1442971363000%22	http://www.jungonenutri.com/upload/notice/notice_20150923102243178.png	C:/My%20Web%20Sites/test2/www.jungonenutri.com/upload/notice/notice_20150923102243178.png	(from http://www.jungonenutri.com/user/notice/noticeView.do?seq=181)
